shopPower,comNum,dist_to_center,other_comments,other_scores
30.0,33.0,2.499623069086937,14.13469387755102,12.89795918367347
35.0,63.0,2.559766448531167,1.5,32.5
35.0,36.0,4.486820774632676,5.0256410256410255,15.0
35.0,3.0,4.472540011474709,4.172413793103448,23.103448275862068
45.0,1044.0,1.8295720506067967,76.28965517241379,32.37931034482759
35.0,278.0,3.042400285774664,235.24938875305622,32.01711491442543
30.0,0.0,7.488637824177769,27.49397590361446,24.63855421686747
40.0,429.0,2.6293235946926394,138.6887417218543,28.774834437086092
40.0,274.0,2.2794243683864206,51.5625,35.3125
30.0,0.0,4.053072084331991,40.27777777777778,25.069444444444443
40.0,15.0,0.5341807701785761,24.333333333333332,35.0
30.0,0.0,2.5198895528976983,6.225806451612903,21.129032258064516
45.0,1617.0,12.736665778659955,62.39473684210526,31.228070175438596
35.0,2077.0,2.445116512349315,235.24938875305622,32.01711491442543
35.0,0.0,4.756339184046476,1.0185185185185186,8.842592592592593
30.0,0.0,6.644688595765881,108.85964912280701,30.50877192982456
35.0,2.0,8.53044378579825,110.68911917098445,21.632124352331605
45.0,710.0,5.923145759393443,68.08333333333333,27.916666666666668
30.0,6.0,3.4968343284939913,71.96894409937889,24.782608695652176
30.0,36.0,1.8540148112156565,46.58461538461538,25.0
35.0,73.0,4.37932446679122,58.3448275862069,32.41379310344828
30.0,11.0,2.416149541641336,97.76470588235294,22.352941176470587
0.0,0.0,3.201806517793536,0.3333333333333333,3.888888888888889
35.0,12.0,0.837163783133726,3.1366459627329193,15.46583850931677
35.0,37.0,7.118157100126942,61.54225352112676,29.54225352112676
35.0,53.0,2.8171141110490887,58.3448275862069,32.41379310344828
35.0,0.0,3.593287250199498,624.2573099415205,33.83040935672515
0.0,0.0,4.401798509726531,30.656050955414013,20.318471337579616
35.0,2.0,4.767328598492168,355.0479041916168,35.55888223552894
0.0,0.0,4.46137928979741,18.055555555555557,31.944444444444443
35.0,281.0,6.011794663140357,237.62231759656652,33.60515021459227
35.0,2.0,3.1592973809823084,134.58333333333334,31.875
0.0,0.0,8.239089518492023,10.805555555555555,26.805555555555557
35.0,275.0,4.768875413364302,122.99122807017544,27.87280701754386
40.0,7790.0,2.512179681387559,543.0673575129533,33.847150259067355
40.0,28.0,1.7184012216472062,359.016,34.46
35.0,2.0,3.0372427548662566,52.64102564102564,32.30769230769231
40.0,166.0,2.4599080025289166,222.1280487804878,33.23170731707317
45.0,305.0,4.530420274115997,126.00444444444445,34.17777777777778
40.0,144.0,0.5542314747350312,300.0807453416149,33.80434782608695
35.0,58.0,2.806350897163517,62.39473684210526,31.228070175438596
35.0,5.0,3.6476955478346564,53.27956989247312,30.107526881720432
35.0,258.0,3.785703291121626,14.13469387755102,12.89795918367347
40.0,114.0,1.988920981328281,91.69565217391305,37.17391304347826
35.0,167.0,1.9059839168858128,22.69924812030075,27.669172932330827
35.0,23.0,2.7084986888054283,355.0479041916168,35.55888223552894
30.0,11.0,2.1907031289017143,0.0,10.0
35.0,28.0,4.743093476872055,239.51013513513513,34.71283783783784
35.0,46.0,5.4551115650492035,25.483333333333334,33.166666666666664
