shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum,dist_to_center
91980588,一笼小确幸,121.47167982863644,31.242830294103907,35.0,10.0,茶餐厅,food,91980588.0,美食,26.0,
22342372,饭外篇,121.404474,31.210523,35.0,10.0,快餐简餐,food,68918977.0,美食,354.0,2.9471306000151527
19668179,来伊份,121.372689,31.216331,35.0,10.0,小吃快餐,food,505069.0,美食,7.0,5.8984426747897185
59265950,陶阿姨快餐面馆,121.42953600000001,30.988273,35.0,10.0,小吃快餐,food,59265950.0,美食,3.0,2.306554611524741
69468328,重庆酸辣粉,121.633126,30.912399,0.0,10.0,米粉,food,69468328.0,美食,0.0,3.5882533615530536
48118345,味觉小厨,121.70270500000001,31.195128000000004,30.0,10.0,本帮江浙菜,food,48118345.0,美食,1.0,3.9784827103378126
79223400,大钏锅物,121.52668999999999,31.230109999999996,50.0,10.0,火锅,food,79223400.0,美食,254.0,3.4537207830572316
1900297,普西尼餐厅,121.560501,31.22632,35.0,10.0,意大利菜,food,1900297.0,美食,36.0,3.251399142176812
6134239,继光香香鸡,121.490779,31.27947,30.0,10.0,小吃,food,4727066.0,美食,462.0,5.632254642657288
4109921,蜀府,121.34215900000001,31.164635999999998,45.0,10.0,川菜/家常菜,food,3281380.0,美食,4246.0,3.7361823317045464
68068337,蜀味冒菜,121.76258999999999,31.051294,35.0,10.0,小吃快餐,food,68068337.0,美食,3.0,8.884443829496412
68224066,台乡源中式快餐,121.433226,31.365653000000002,35.0,10.0,快餐简餐,food,68224066.0,美食,1.0,4.03322660678746
83479174,倪氏龙虾,121.698968,31.183000000000003,30.0,10.0,小龙虾,food,83479174.0,美食,11.0,5.0398961823938855
66827742,唐小厨,121.43337199999999,31.412465,35.0,10.0,川菜,food,66827742.0,美食,2.0,3.6971017600838296
18230330,米米饭汉堡,121.405073,31.224651,35.0,10.0,西式简餐,food,18230330.0,美食,5.0,2.730484898615581
82903840,扫光零食屋,121.1971813036125,31.01700818208179,30.0,10.0,零食,food,82903840.0,美食,0.0,1.843937269842775
59294064,Maggie Coffee,121.63353300000001,31.218479,35.0,10.0,咖啡厅,food,59294064.0,美食,16.0,3.776512464068595
2562631,老东北菜馆,121.3553896,31.09944426,30.0,10.0,东北菜,food,2486536.0,美食,48.0,7.790454248161325
79866451,新元素餐厅,121.48153,31.24441,30.0,10.0,西餐,food,79866451.0,美食,0.0,3.6344507206846974
59279683,又见面山西面食,121.202789,31.04968,35.0,10.0,小吃快餐,food,59279683.0,美食,4.0,4.627296974941713
69540603,海绵宝宝海洋茶坊,121.3935,31.196590000000004,35.0,10.0,饮品,food,65704301.0,美食,16.0,1.0529748465468882
58410382,道家素斋,121.49256000000001,31.225459999999998,35.0,10.0,素菜,food,58410382.0,美食,14.0,2.6412859033019247
90119744,牛腩晓厨,121.41113,31.270405,35.0,10.0,快餐简餐,food,90119744.0,美食,328.0,2.310114878864231
32526207,喜来稀肉,121.38265,31.242801,45.0,10.0,韩国料理,food,13928024.0,美食,3493.0,4.887347027816366
69480331,织田料理,121.633972,31.199521999999998,35.0,10.0,日本料理,food,69480331.0,美食,6.0,4.714476153768502
38864856,大话战锅,121.42405900000001,31.20952,30.0,10.0,火锅,food,38864856.0,美食,5.0,4.341388617585234
19667705,来伊份,121.44291000000001,31.321015999999997,30.0,10.0,小吃快餐,food,505069.0,美食,17.0,1.1110347815385295
59164933,周黑鸭,121.51726000000001,31.228790000000004,35.0,10.0,熟食,food,59164933.0,美食,58.0,3.7017847643307626
79907909,丰收年农家菜,121.44407,30.99383,30.0,10.0,快餐简餐,food,79907909.0,美食,0.0,1.784980125450224
5567485,萨莉亚,121.610556,31.293055,35.0,10.0,西式简餐,food,502506.0,美食,227.0,3.013392964755561
17621664,辣吙吙,121.3084,31.20947,30.0,10.0,川菜/家常菜,food,17621664.0,美食,84.0,4.655290606004693
2714233,沙县小吃,121.557523,31.202948,30.0,10.0,小吃快餐,food,1915501.0,美食,62.0,5.77017694611346
67952330,芝根芝底,121.542391,31.242255,35.0,10.0,比萨,food,67952330.0,美食,33.0,6.162657196238655
15605850,长脚馒头店,121.504623,31.257213,30.0,10.0,快餐简餐,food,15605850.0,美食,6.0,7.4878917197311585
9970359,Cup cats猫咪咖啡馆,121.46058899999998,31.216863,45.0,10.0,咖啡厅,food,9970359.0,美食,819.0,
69011694,弄堂咪道-健康夜市大饼油条,121.35121399999998,31.155477,35.0,10.0,小吃,food,69011694.0,美食,652.0,2.4599080025289166
6117374,都可茶饮,121.470423,31.259564,35.0,10.0,饮品,food,2444533.0,美食,43.0,5.613936248422113
6860853,中华艺术宫咖啡吧,121.493951,31.1842904,30.0,10.0,咖啡厅,food,6860853.0,美食,27.0,3.823792702680946
500622,小肥羊,121.482546,31.210983000000002,40.0,10.0,火锅,food,500617.0,美食,11725.0,6.1166616044440625
80265748,庆庆饮食店,121.49588,31.207420000000003,35.0,10.0,快餐简餐,food,80265748.0,美食,1.0,2.3277651851678995
17622517,星巴克,121.4898799,31.222309999999997,40.0,10.0,星巴克,food,1889797.0,美食,178.0,3.7601282273013603
8675483,川沪一佳,121.474760000062,31.276739999993,35.0,10.0,川菜/家常菜,food,8675483.0,美食,4.0,2.784049162375492
90300701,大帽山,121.29816000000001,31.193859999999997,35.0,10.0,其他,food,90300701.0,美食,3.0,1.6788751292928936
