shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
10346981,峯铁板烧,31.23287,121.4126,40,10,西餐,food,5185389,美食,205,5908
10348515,70后饭吧,31.274014,121.452363,40,10,本帮江浙菜,food,5332363,美食,74,9307
10349635,韩食美香,31.173376,121.489511,35,10,韩国料理,food,10349635,美食,40,222
10349773,蒋记农家庄,31.298769,121.153274,35,10,创意菜,food,10349773,美食,73,429
10350438,成都苗苗鱼,31.088062,121.398287,40,10,鱼火锅,food,10350438,美食,139,294
10351763,小龙烧烤,31.261274,121.496079,30,10,烧烤,food,10351763,美食,50,12
10351979,精品牛肉面,31.232679,121.39651,30,10,小吃快餐,food,10351979,美食,23,32
10352069,金陵蟹黄小笼汤包,31.073434,121.547833,30,10,包子,food,10352069,美食,29,10
10644779,峨嵋路葱油饼,31.250929,121.490295,0,10,快餐简餐,food,10644779,美食,-,19
10645667,禾丰米粉,31.282173,121.487341,30,10,米粉,food,583594,美食,13,3
10645942,广州湾烤海鲜,31.185881,121.517673,35,10,海鲜,food,10645942,美食,48,25
10646424,黄记桂林米粉店,31.2525,121.50915,35,10,米粉,food,503070,14,23
10646849,La Vite意大利餐厅酒馆,31.212259,121.446224,35,10,意大利菜,food,69675620,美食,142,193
10646932,俏江南,31.218614,121.416275,40,10,川菜/家常菜,food,500884,美食,145,5586
10647380,新疆喀什维吾尔烤肉店,31.22372299,121.4924058,30,10,烧烤,food,10647380,美食,-,5
10647453,一品黄鱼面,31.325222,121.447355,30,10,本帮菜,food,10647453,25,78
10647549,杨行镇烧烤,31.3792359999985,121.440673999986,35,10,烧烤,food,10647549,美食,-,4
10647608,1515牛排馆·酒吧,31.22306,121.450641,40,10,牛排,food,10647608,美食,630,1540
10649006,COVA,31.223408,121.473618,35,10,西式甜点,food,4514690,美食,161,1646
10649094,阮记酒楼,31.093806,121.812949,35,10,本帮江浙菜,food,10649094,美食,58,14
10649780,老亲亭,31.234057,121.412716,35,10,小吃,food,10649780,美食,19,1321
10652804,北京老前门烤鸭,31.185415,121.518171,35,10,北京菜,food,4532784,美食,22,25
10653151,李记武汉热干面,30.73201878,121.346637,35,10,小吃快餐,food,10653151,美食,-,5
10653683,哈根达斯,31.260866,121.498922,40,10,冰淇淋,food,501168,美食,84,236
10653949,重庆鸡公煲烤鱼,31.266293,121.58246,35,10,烤鱼,food,10653949,美食,29,11
10654381,精品牛肉面,31.20434,121.467579,30,10,清真菜,food,10654381,美食,17,45
10654959,小南国烧烤,31.232168,121.476733,40,10,日式烧烤/铁板烧,food,501052,美食,180,6856
10655994,1点点,31.25293,121.48471,35,10,饮品,food,5542049,美食,16,526
10656895,我家酸菜鱼,31.116532,121.281413,35,10,川菜,food,10656895,美食,63,44
10658495,鹿港小镇,31.237196,121.484599,40,10,台湾菜,food,500387,美食,99,3319
10658809,円乐日本料理,31.221118,121.460841,40,10,日本料理,food,10658809,美食,177,364
10659007,爱尚麻辣烫,31.26482,121.48472,30,10,麻辣烫,food,10659007,美食,23,90
10659904,游子老鸭粉丝汤,31.254604,121.325732,35,10,小吃,food,10659904,美食,15,6
10660404,外婆人家,31.268494,121.4786,30,10,本帮菜,food,10660404,美食,67,80
10660523,莉莲蛋挞,30.916024,121.483749,35,10,西式甜点,food,3713437,美食,15,103
10660826,江南小菜,31.003439,121.238909,35,10,本帮菜,food,3159055,美食,82,142
10661240,一品川坊,31.212687,121.482583,30,10,川菜/家常菜,food,10661240,美食,34,5
10662054,快乐柠檬,31.212618,121.49537,30,10,饮品,food,1917097,美食,11,96
10662351,老蟹沪味干挑面,31.202185,121.489344,40,10,小吃快餐,food,10662351,美食,38,3345
10664091,新新典范,31.402617,121.475927,35,10,快餐简餐,food,10664091,美食,-,2
10664926,绝味鸭脖,31.058549,121.234415,30,10,熟食,food,2562220,美食,17,43
10665075,食之秘,31.18705,121.53532,40,10,饮品,food,2050756,美食,57,1026
10665331,星巴克,31.204878,121.59089,35,10,星巴克,food,1889797,美食,33,65
10665396,幸福食谱精选韩国料理,31.266481,121.507737,45,10,韩国料理,food,10665396,美食,51,3168
10665937,绝味鸭脖,31.269628,121.588668,40,10,熟食,food,2562220,美食,24,138
